Package,Version,URL,Status,Bloom Log,Build Log,Deb File,Installed Files
roscpp_core,0.7.3-4-g34fad8c-2026.09.05.05.51,https://github.com/ros-o/roscpp_core/tree/obese-devel,success,roscpp_core_0.7.3-4-g34fad8c-2026.09.05.05.51-bloom_generate.log,ros-one-roscpp-core_0.7.3-4-g34fad8c-2026.09.05.05.51_amd64-2026-09-05T05:51:14Z.build,ros-one-roscpp-core_0.7.3-4-g34fad8c-2026.09.05.05.51_amd64.deb,ros-one-roscpp-core_0.7.3-4-g34fad8c-2026.09.05.05.51_amd64.files
roscpp_traits,0.7.3-4-g34fad8c-2026.09.05.05.51,https://github.com/ros-o/roscpp_core/tree/obese-devel,success,roscpp_traits_0.7.3-4-g34fad8c-2026.09.05.05.51-bloom_generate.log,ros-one-roscpp-traits_0.7.3-4-g34fad8c-2026.09.05.05.51_amd64-2026-09-05T05:51:43Z.build,ros-one-roscpp-traits_0.7.3-4-g34fad8c-2026.09.05.05.51_amd64.deb,ros-one-roscpp-traits_0.7.3-4-g34fad8c-2026.09.05.05.51_amd64.files
rostime,0.7.3-4-g34fad8c-2026.09.05.05.52,https://github.com/ros-o/roscpp_core/tree/obese-devel,success,rostime_0.7.3-4-g34fad8c-2026.09.05.05.52-bloom_generate.log,ros-one-rostime_0.7.3-4-g34fad8c-2026.09.05.05.52_amd64-2026-09-05T05:52:13Z.build,ros-one-rostime_0.7.3-4-g34fad8c-2026.09.05.05.52_amd64.deb,ros-one-rostime_0.7.3-4-g34fad8c-2026.09.05.05.52_amd64.files
roscpp_serialization,0.7.3-4-g34fad8c-2026.09.05.05.52,https://github.com/ros-o/roscpp_core/tree/obese-devel,success,roscpp_serialization_0.7.3-4-g34fad8c-2026.09.05.05.52-bloom_generate.log,ros-one-roscpp-serialization_0.7.3-4-g34fad8c-2026.09.05.05.52_amd64-2026-09-05T05:52:53Z.build,ros-one-roscpp-serialization_0.7.3-4-g34fad8c-2026.09.05.05.52_amd64.deb,ros-one-roscpp-serialization_0.7.3-4-g34fad8c-2026.09.05.05.52_amd64.files
franka_lock_unlock,0-2026.09.05.05.49,https://github.com/jk-ethz/franka_lock_unlock/tree/ros1,success,franka_lock_unlock_0-2026.09.05.05.49-bloom_generate.log,ros-one-franka-lock-unlock_0-2026.09.05.05.49_amd64-2026-09-05T05:49:46Z.build,ros-one-franka-lock-unlock_0-2026.09.05.05.49_amd64.deb,ros-one-franka-lock-unlock_0-2026.09.05.05.49_amd64.files
gl_dependency,1.1.2-1-g337fcfc-2026.09.05.05.50,https://github.com/ros-visualization/gl_dependency/tree/kinetic-devel,success,gl_dependency_1.1.2-1-g337fcfc-2026.09.05.05.50-bloom_generate.log,ros-one-gl-dependency_1.1.2-1-g337fcfc-2026.09.05.05.50_amd64-2026-09-05T05:50:15Z.build,ros-one-gl-dependency_1.1.2-1-g337fcfc-2026.09.05.05.50_amd64.deb,ros-one-gl-dependency_1.1.2-1-g337fcfc-2026.09.05.05.50_amd64.files
jrl_cmakemodules,2.3.0-2026.09.05.05.50,https://github.com/jrl-umi3218/jrl-cmakemodules/tree/master,success,jrl_cmakemodules_2.3.0-2026.09.05.05.50-bloom_generate.log,ros-one-jrl-cmakemodules_2.3.0-2026.09.05.05.50_amd64-2026-09-05T05:50:44Z.build,ros-one-jrl-cmakemodules_2.3.0-2026.09.05.05.50_amd64.deb,ros-one-jrl-cmakemodules_2.3.0-2026.09.05.05.50_amd64.files
libg2o,2020.5.3-2026.09.05.05.51,https://github.com/ros-gbp/libg2o-release/tree/HEAD,success,libg2o_2020.5.3-2026.09.05.05.51-bloom_generate.log,ros-one-libg2o_2020.5.3-2026.09.05.05.51_amd64-2026-09-05T05:51:21Z.build,ros-one-libg2o_2020.5.3-2026.09.05.05.51_amd64.deb,ros-one-libg2o_2020.5.3-2026.09.05.05.51_amd64.files
mavlink,2025.9.9-1-2026.09.05.06.01,https://github.com/mavlink/mavlink-gbp-release/tree/release/noetic/mavlink,success,mavlink_2025.9.9-1-2026.09.05.06.01-bloom_generate.log,ros-one-mavlink_2025.9.9-1-2026.09.05.06.01_amd64-2026-09-05T06:01:02Z.build,ros-one-mavlink_2025.9.9-1-2026.09.05.06.01_amd64.deb,ros-one-mavlink_2025.9.9-1-2026.09.05.06.01_amd64.files
openslam_gmapping,0.2.1-17-g5105476-2026.09.05.06.01,https://github.com/ros-perception/openslam_gmapping/tree/melodic-devel,success,openslam_gmapping_0.2.1-17-g5105476-2026.09.05.06.01-bloom_generate.log,ros-one-openslam-gmapping_0.2.1-17-g5105476-2026.09.05.06.01_amd64-2026-09-05T06:01:48Z.build,ros-one-openslam-gmapping_0.2.1-17-g5105476-2026.09.05.06.01_amd64.deb,ros-one-openslam-gmapping_0.2.1-17-g5105476-2026.09.05.06.01_amd64.files
baldor,0.1.3-3-g10fabc5-2026.09.05.05.49,https://github.com/crigroup/baldor/tree/master,success,baldor_0.1.3-3-g10fabc5-2026.09.05.05.49-bloom_generate.log,ros-one-baldor_0.1.3-3-g10fabc5-2026.09.05.05.49_amd64-2026-09-05T05:49:34Z.build,ros-one-baldor_0.1.3-3-g10fabc5-2026.09.05.05.49_amd64.deb,ros-one-baldor_0.1.3-3-g10fabc5-2026.09.05.05.49_amd64.files
cmake_modules,0.5.2-1-g1dc8014-2026.09.05.05.49,https://github.com/ros/cmake_modules/tree/0.5-devel,success,cmake_modules_0.5.2-1-g1dc8014-2026.09.05.05.49-bloom_generate.log,ros-one-cmake-modules_0.5.2-1-g1dc8014-2026.09.05.05.49_amd64-2026-09-05T05:50:00Z.build,ros-one-cmake-modules_0.5.2-1-g1dc8014-2026.09.05.05.49_amd64.deb,ros-one-cmake-modules_0.5.2-1-g1dc8014-2026.09.05.05.49_amd64.files
convex_decomposition,0.1.12-3-gb722eb5-2026.09.05.05.50,https://github.com/ros/convex_decomposition/tree/melodic-devel,success,convex_decomposition_0.1.12-3-gb722eb5-2026.09.05.05.50-bloom_generate.log,ros-one-convex-decomposition_0.1.12-3-gb722eb5-2026.09.05.05.50_amd64-2026-09-05T05:50:26Z.build,ros-one-convex-decomposition_0.1.12-3-gb722eb5-2026.09.05.05.50_amd64.deb,ros-one-convex-decomposition_0.1.12-3-gb722eb5-2026.09.05.05.50_amd64.files
qwt_dependency,1.1.1-2-g91d8aee-2026.09.05.05.50,https://github.com/ros-visualization/qwt_dependency/tree/kinetic-devel,success,qwt_dependency_1.1.1-2-g91d8aee-2026.09.05.05.50-bloom_generate.log,ros-one-qwt-dependency_1.1.1-2-g91d8aee-2026.09.05.05.50_amd64-2026-09-05T05:50:56Z.build,ros-one-qwt-dependency_1.1.1-2-g91d8aee-2026.09.05.05.50_amd64.deb,ros-one-qwt-dependency_1.1.1-2-g91d8aee-2026.09.05.05.50_amd64.files
roslint,0.12.0-4-gac02636-2026.09.05.05.51,https://github.com/ros/roslint/tree/master,success,roslint_0.12.0-4-gac02636-2026.09.05.05.51-bloom_generate.log,ros-one-roslint_0.12.0-4-gac02636-2026.09.05.05.51_amd64-2026-09-05T05:51:22Z.build,ros-one-roslint_0.12.0-4-gac02636-2026.09.05.05.51_amd64.deb,ros-one-roslint_0.12.0-4-gac02636-2026.09.05.05.51_amd64.files
soem,1.4.1003-1-g988013c-2026.09.05.05.51,https://github.com/mgruhler/soem/tree/melodic,success,soem_1.4.1003-1-g988013c-2026.09.05.05.51-bloom_generate.log,ros-one-soem_1.4.1003-1-g988013c-2026.09.05.05.51_amd64-2026-09-05T05:51:49Z.build,ros-one-soem_1.4.1003-1-g988013c-2026.09.05.05.51_amd64.deb,ros-one-soem_1.4.1003-1-g988013c-2026.09.05.05.51_amd64.files
apriltag,3.4.5-57-gb7c0ebe-2026.09.05.05.49,https://github.com/AprilRobotics/apriltag/tree/master,success,apriltag_3.4.5-57-gb7c0ebe-2026.09.05.05.49-bloom_generate.log,ros-one-apriltag_3.4.5-57-gb7c0ebe-2026.09.05.05.49_amd64-2026-09-05T05:49:44Z.build,ros-one-apriltag_3.4.5-57-gb7c0ebe-2026.09.05.05.49_amd64.deb,ros-one-apriltag_3.4.5-57-gb7c0ebe-2026.09.05.05.49_amd64.files
code_coverage,0.4.4-5-g7c273b3-2026.09.05.05.50,https://github.com/mikeferguson/code_coverage/tree/master,success,code_coverage_0.4.4-5-g7c273b3-2026.09.05.05.50-bloom_generate.log,ros-one-code-coverage_0.4.4-5-g7c273b3-2026.09.05.05.50_amd64-2026-09-05T05:50:19Z.build,ros-one-code-coverage_0.4.4-5-g7c273b3-2026.09.05.05.50_amd64.deb,ros-one-code-coverage_0.4.4-5-g7c273b3-2026.09.05.05.50_amd64.files
pybind11_catkin,3.0.0-2026.09.05.05.50,https://github.com/ros-o/pybind11_catkin/tree/master,success,pybind11_catkin_3.0.0-2026.09.05.05.50-bloom_generate.log,ros-one-pybind11-catkin_3.0.0-2026.09.05.05.50_amd64-2026-09-05T05:50:50Z.build,ros-one-pybind11-catkin_3.0.0-2026.09.05.05.50_amd64.deb,ros-one-pybind11-catkin_3.0.0-2026.09.05.05.50_amd64.files
ruckig,0.15.3-4-g4e15d8a-2026.09.05.05.51,https://github.com/pantor/ruckig/tree/HEAD,success,ruckig_0.15.3-4-g4e15d8a-2026.09.05.05.51-bloom_generate.log,ros-one-ruckig_0.15.3-4-g4e15d8a-2026.09.05.05.51_amd64-2026-09-05T05:51:23Z.build,ros-one-ruckig_0.15.3-4-g4e15d8a-2026.09.05.05.51_amd64.deb,ros-one-ruckig_0.15.3-4-g4e15d8a-2026.09.05.05.51_amd64.files
urg_c,1.0.405-1-gbbe007f-2026.09.05.05.53,https://github.com/ros-drivers/urg_c/tree/master,success,urg_c_1.0.405-1-gbbe007f-2026.09.05.05.53-bloom_generate.log,ros-one-urg-c_1.0.405-1-gbbe007f-2026.09.05.05.53_amd64-2026-09-05T05:53:01Z.build,ros-one-urg-c_1.0.405-1-gbbe007f-2026.09.05.05.53_amd64.deb,ros-one-urg-c_1.0.405-1-gbbe007f-2026.09.05.05.53_amd64.files
webkit_dependency,1.1.2-2026.09.05.05.53,https://github.com/ros-visualization/webkit_dependency/tree/kinetic-devel,success,webkit_dependency_1.1.2-2026.09.05.05.53-bloom_generate.log,ros-one-webkit-dependency_1.1.2-2026.09.05.05.53_amd64-2026-09-05T05:53:36Z.build,ros-one-webkit-dependency_1.1.2-2026.09.05.05.53_amd64.deb,ros-one-webkit-dependency_1.1.2-2026.09.05.05.53_amd64.files
eml,0-2026.09.05.05.49,https://github.com/ros-o/eml/tree/main,success,eml_0-2026.09.05.05.49-bloom_generate.log,ros-one-eml_0-2026.09.05.05.49_amd64-2026-09-05T05:49:35Z.build,ros-one-eml_0-2026.09.05.05.49_amd64.deb,ros-one-eml_0-2026.09.05.05.49_amd64.files
librealsense2,2.54.2-7-ga359010b3-2026.09.05.05.50,https://github.com/ros-o/librealsense/tree/master,success,librealsense2_2.54.2-7-ga359010b3-2026.09.05.05.50-bloom_generate.log,ros-one-librealsense2_2.54.2-7-ga359010b3-2026.09.05.05.50_amd64-2026-09-05T05:50:16Z.build,ros-one-librealsense2_2.54.2-7-ga359010b3-2026.09.05.05.50_amd64.deb,ros-one-librealsense2_2.54.2-7-ga359010b3-2026.09.05.05.50_amd64.files
prosilica_gige_sdk,1.26.3-2026.09.05.06.02,https://github.com/ros-drivers/prosilica_gige_sdk/tree/hydro-devel,success,prosilica_gige_sdk_1.26.3-2026.09.05.06.02-bloom_generate.log,ros-one-prosilica-gige-sdk_1.26.3-2026.09.05.06.02_amd64-2026-09-05T06:02:17Z.build,ros-one-prosilica-gige-sdk_1.26.3-2026.09.05.06.02_amd64.deb,ros-one-prosilica-gige-sdk_1.26.3-2026.09.05.06.02_amd64.files
random_numbers,0.3.3-2-gb36ab4a-2026.09.05.06.02,https://github.com/moveit/random_numbers/tree/master,success,random_numbers_0.3.3-2-gb36ab4a-2026.09.05.06.02-bloom_generate.log,ros-one-random-numbers_0.3.3-2-gb36ab4a-2026.09.05.06.02_amd64-2026-09-05T06:02:50Z.build,ros-one-random-numbers_0.3.3-2-gb36ab4a-2026.09.05.06.02_amd64.deb,ros-one-random-numbers_0.3.3-2-gb36ab4a-2026.09.05.06.02_amd64.files
stage,4.3.0-17-g2d2e0724-2026.09.05.06.03,https://github.com/ros-o/Stage/tree/obese-devel,success,stage_4.3.0-17-g2d2e0724-2026.09.05.06.03-bloom_generate.log,ros-one-stage_4.3.0-17-g2d2e0724-2026.09.05.06.03_amd64-2026-09-05T06:03:39Z.build,ros-one-stage_4.3.0-17-g2d2e0724-2026.09.05.06.03_amd64.deb,ros-one-stage_4.3.0-17-g2d2e0724-2026.09.05.06.03_amd64.files
tams_execute,0-2026.09.05.06.04,https://github.com/TAMS-Group/tams_execute/tree/main,success,tams_execute_0-2026.09.05.06.04-bloom_generate.log,ros-one-tams-execute_0-2026.09.05.06.04_amd64-2026-09-05T06:04:57Z.build,ros-one-tams-execute_0-2026.09.05.06.04_amd64.deb,ros-one-tams-execute_0-2026.09.05.06.04_amd64.files
ivcon,0.1.7-2-g5c97b19-2026.09.05.05.49,https://github.com/ros/ivcon/tree/melodic-devel,success,ivcon_0.1.7-2-g5c97b19-2026.09.05.05.49-bloom_generate.log,ros-one-ivcon_0.1.7-2-g5c97b19-2026.09.05.05.49_amd64-2026-09-05T05:49:37Z.build,ros-one-ivcon_0.1.7-2-g5c97b19-2026.09.05.05.49_amd64.deb,ros-one-ivcon_0.1.7-2-g5c97b19-2026.09.05.05.49_amd64.files
libnabo,1.1.2-4-g0ce6ecb-2026.09.05.05.50,https://github.com/ethz-asl/libnabo/tree/master,success,libnabo_1.1.2-4-g0ce6ecb-2026.09.05.05.50-bloom_generate.log,ros-one-libnabo_1.1.2-4-g0ce6ecb-2026.09.05.05.50_amd64-2026-09-05T05:50:13Z.build,ros-one-libnabo_1.1.2-4-g0ce6ecb-2026.09.05.05.50_amd64.deb,ros-one-libnabo_1.1.2-4-g0ce6ecb-2026.09.05.05.50_amd64.files
magic_enum,0.9.8-62-gbe66674-2026.09.05.05.51,https://github.com/Neargye/magic_enum/tree/master,success,magic_enum_0.9.8-62-gbe66674-2026.09.05.05.51-bloom_generate.log,ros-one-magic-enum_0.9.8-62-gbe66674-2026.09.05.05.51_amd64-2026-09-05T05:51:12Z.build,ros-one-magic-enum_0.9.8-62-gbe66674-2026.09.05.05.51_amd64.deb,ros-one-magic-enum_0.9.8-62-gbe66674-2026.09.05.05.51_amd64.files
rosbag_migration_rule,1.0.1-1-g2269b62-2026.09.05.05.53,https://github.com/ros/rosbag_migration_rule/tree/master,success,rosbag_migration_rule_1.0.1-1-g2269b62-2026.09.05.05.53-bloom_generate.log,ros-one-rosbag-migration-rule_1.0.1-1-g2269b62-2026.09.05.05.53_amd64-2026-09-05T05:53:52Z.build,ros-one-rosbag-migration-rule_1.0.1-1-g2269b62-2026.09.05.05.53_amd64.deb,ros-one-rosbag-migration-rule_1.0.1-1-g2269b62-2026.09.05.05.53_amd64.files
serial,1.2.1-41-g69e0372-2026.09.05.05.54,https://github.com/wjwwood/serial/tree/main,success,serial_1.2.1-41-g69e0372-2026.09.05.05.54-bloom_generate.log,ros-one-serial_1.2.1-41-g69e0372-2026.09.05.05.54_amd64-2026-09-05T05:54:23Z.build,ros-one-serial_1.2.1-41-g69e0372-2026.09.05.05.54_amd64.deb,ros-one-serial_1.2.1-41-g69e0372-2026.09.05.05.54_amd64.files
ur_client_library,2.15.0-2026.09.05.05.54,https://github.com/UniversalRobots/Universal_Robots_Client_Library/tree/master,success,ur_client_library_2.15.0-2026.09.05.05.54-bloom_generate.log,ros-one-ur-client-library_2.15.0-2026.09.05.05.54_amd64-2026-09-05T05:54:59Z.build,ros-one-ur-client-library_2.15.0-2026.09.05.05.54_amd64.deb,ros-one-ur-client-library_2.15.0-2026.09.05.05.54_amd64.files
genmsg,0.5.16-1-g7d8b6ce-2026.09.05.05.49,https://github.com/ros/genmsg/tree/kinetic-devel,success,genmsg_0.5.16-1-g7d8b6ce-2026.09.05.05.49-bloom_generate.log,ros-one-genmsg_0.5.16-1-g7d8b6ce-2026.09.05.05.49_amd64-2026-09-05T05:49:45Z.build,ros-one-genmsg_0.5.16-1-g7d8b6ce-2026.09.05.05.49_amd64.deb,ros-one-genmsg_0.5.16-1-g7d8b6ce-2026.09.05.05.49_amd64.files
ros_industrial_cmake_boilerplate,0.7.5-2026.09.05.05.50,https://github.com/ros-industrial/ros_industrial_cmake_boilerplate/tree/master,success,ros_industrial_cmake_boilerplate_0.7.5-2026.09.05.05.50-bloom_generate.log,ros-one-ros-industrial-cmake-boilerplate_0.7.5-2026.09.05.05.50_amd64-2026-09-05T05:50:16Z.build,ros-one-ros-industrial-cmake-boilerplate_0.7.5-2026.09.05.05.50_amd64.deb,ros-one-ros-industrial-cmake-boilerplate_0.7.5-2026.09.05.05.50_amd64.files
urdfdom_headers,3.0.1-2026.09.05.05.50,https://github.com/ros/urdfdom_headers/tree/rolling,success,urdfdom_headers_3.0.1-2026.09.05.05.50-bloom_generate.log,ros-one-urdfdom-headers_3.0.1-2026.09.05.05.50_amd64-2026-09-05T05:50:42Z.build,ros-one-urdfdom-headers_3.0.1-2026.09.05.05.50_amd64.deb,ros-one-urdfdom-headers_3.0.1-2026.09.05.05.50_amd64.files
gtsam,4.2.0-ros-4042-gf566096e2-2026.09.05.05.49,https://github.com/ros-o/gtsam/tree/add-missing-boost-depends,success,gtsam_4.2.0-ros-4042-gf566096e2-2026.09.05.05.49-bloom_generate.log,ros-one-gtsam_4.2.0-ros-4042-gf566096e2-2026.09.05.05.49_amd64-2026-09-05T05:49:57Z.build,ros-one-gtsam_4.2.0-ros-4042-gf566096e2-2026.09.05.05.49_amd64.deb,ros-one-gtsam_4.2.0-ros-4042-gf566096e2-2026.09.05.05.49_amd64.files
ompl,1.7.0-95-g7da33b39-2026.09.05.05.49,https://github.com/v4hn/ompl/tree/pr-boost-without-python,success,ompl_1.7.0-95-g7da33b39-2026.09.05.05.49-bloom_generate.log,ros-one-ompl_1.7.0-95-g7da33b39-2026.09.05.05.49_amd64-2026-09-05T05:50:09Z.build,ros-one-ompl_1.7.0-95-g7da33b39-2026.09.05.05.49_amd64.deb,ros-one-ompl_1.7.0-95-g7da33b39-2026.09.05.05.49_amd64.files
genlisp,0.4.18-2026.09.05.06.14,https://github.com/ros/genlisp/tree/kinetic-devel,success,genlisp_0.4.18-2026.09.05.06.14-bloom_generate.log,ros-one-genlisp_0.4.18-2026.09.05.06.14_amd64-2026-09-05T06:14:03Z.build,ros-one-genlisp_0.4.18-2026.09.05.06.14_amd64.deb,ros-one-genlisp_0.4.18-2026.09.05.06.14_amd64.files
eigen_stl_containers,0.1.8-2-gd2a41f0-2026.09.05.06.14,https://github.com/ros/eigen_stl_containers/tree/master,success,eigen_stl_containers_0.1.8-2-gd2a41f0-2026.09.05.06.14-bloom_generate.log,ros-one-eigen-stl-containers_0.1.8-2-gd2a41f0-2026.09.05.06.14_amd64-2026-09-05T06:14:58Z.build,ros-one-eigen-stl-containers_0.1.8-2-gd2a41f0-2026.09.05.06.14_amd64.deb,ros-one-eigen-stl-containers_0.1.8-2-gd2a41f0-2026.09.05.06.14_amd64.files
geneus,3.0.0-2026.09.05.06.13,https://github.com/jsk-ros-pkg/geneus/tree/master,success,geneus_3.0.0-2026.09.05.06.13-bloom_generate.log,ros-one-geneus_3.0.0-2026.09.05.06.13_amd64-2026-09-05T06:13:59Z.build,ros-one-geneus_3.0.0-2026.09.05.06.13_amd64.deb,ros-one-geneus_3.0.0-2026.09.05.06.13_amd64.files
rosdoc_lite,0.2.11-2-gddd0835-2026.09.05.06.14,https://github.com/ros-infrastructure/rosdoc_lite/tree/master,success,rosdoc_lite_0.2.11-2-gddd0835-2026.09.05.06.14-bloom_generate.log,ros-one-rosdoc-lite_0.2.11-2-gddd0835-2026.09.05.06.14_amd64-2026-09-05T06:14:56Z.build,ros-one-rosdoc-lite_0.2.11-2-gddd0835-2026.09.05.06.14_amd64.deb,ros-one-rosdoc-lite_0.2.11-2-gddd0835-2026.09.05.06.14_amd64.files
genpy,0.6.18-2-g028344d-2026.09.05.06.14,https://github.com/ros-o/genpy/tree/obese-devel,success,genpy_0.6.18-2-g028344d-2026.09.05.06.14-bloom_generate.log,ros-one-genpy_0.6.18-2-g028344d-2026.09.05.06.14_amd64-2026-09-05T06:14:24Z.build,ros-one-genpy_0.6.18-2-g028344d-2026.09.05.06.14_amd64.deb,ros-one-genpy_0.6.18-2-g028344d-2026.09.05.06.14_amd64.files
opw_kinematics,0.5.5-2026.09.05.06.15,https://github.com/Jmeyer1292/opw_kinematics/tree/master,success,opw_kinematics_0.5.5-2026.09.05.06.15-bloom_generate.log,ros-one-opw-kinematics_0.5.5-2026.09.05.06.15_amd64-2026-09-05T06:15:11Z.build,ros-one-opw-kinematics_0.5.5-2026.09.05.06.15_amd64.deb,ros-one-opw-kinematics_0.5.5-2026.09.05.06.15_amd64.files
rospack,2.6.4-3-g79d5374-2026.09.05.06.13,https://github.com/ros-o/rospack/tree/obese-devel,success,rospack_2.6.4-3-g79d5374-2026.09.05.06.13-bloom_generate.log,ros-one-rospack_2.6.4-3-g79d5374-2026.09.05.06.13_amd64-2026-09-05T06:13:52Z.build,ros-one-rospack_2.6.4-3-g79d5374-2026.09.05.06.13_amd64.deb,ros-one-rospack_2.6.4-3-g79d5374-2026.09.05.06.13_amd64.files
gencpp,0.7.2-2026.09.05.06.14,https://github.com/ros-o/gencpp/tree/obese-devel,success,gencpp_0.7.2-2026.09.05.06.14-bloom_generate.log,ros-one-gencpp_0.7.2-2026.09.05.06.14_amd64-2026-09-05T06:14:29Z.build,ros-one-gencpp_0.7.2-2026.09.05.06.14_amd64.deb,ros-one-gencpp_0.7.2-2026.09.05.06.14_amd64.files
class_loader,0.5.0-7-gce24e75-2026.09.05.06.14,https://github.com/ros-o/class_loader/tree/obese-devel,success,class_loader_0.5.0-7-gce24e75-2026.09.05.06.14-bloom_generate.log,ros-one-class-loader_0.5.0-7-gce24e75-2026.09.05.06.14_amd64-2026-09-05T06:14:09Z.build,ros-one-class-loader_0.5.0-7-gce24e75-2026.09.05.06.14_amd64.deb,ros-one-class-loader_0.5.0-7-gce24e75-2026.09.05.06.14_amd64.files
urdfdom,6.0.1-2026.09.05.06.14,https://github.com/ros/urdfdom/tree/rolling,success,urdfdom_6.0.1-2026.09.05.06.14-bloom_generate.log,ros-one-urdfdom_6.0.1-2026.09.05.06.14_amd64-2026-09-05T06:14:33Z.build,ros-one-urdfdom_6.0.1-2026.09.05.06.14_amd64.deb,ros-one-urdfdom_6.0.1-2026.09.05.06.14_amd64.files
libpointmatcher,1.4.4-5-g62b3478-2026.09.05.06.14,https://github.com/norlab-ulaval/libpointmatcher/tree/master,success,libpointmatcher_1.4.4-5-g62b3478-2026.09.05.06.14-bloom_generate.log,ros-one-libpointmatcher_1.4.4-5-g62b3478-2026.09.05.06.14_amd64-2026-09-05T06:14:05Z.build,ros-one-libpointmatcher_1.4.4-5-g62b3478-2026.09.05.06.14_amd64.deb,ros-one-libpointmatcher_1.4.4-5-g62b3478-2026.09.05.06.14_amd64.files
